1.00000,1.00053,1.00101,1.00142,1.00177,1.00208,1.00233,1.00253,1.00269,1.00281,1.00289,1.00293,1.00294,1.00292,1.00288,1.00280,1.00270,1.00259,1.00245,1.00230,1.00213,1.00196,1.00177,1.00158,1.00139,1.00120,1.00101,1.00083,1.00065,1.00049,1.00035,1.00022,1.00012,1.00004,1.00000,0.99999,1.00002,1.00010,1.00022,1.00035,0.99627,0.98977,0.98140,0.97133,0.96010,0.94881,0.93932,0.93450,0.93863,0.95771,1.00000
1.00000,1.00056,1.00105,1.00148,1.00185,1.00217,1.00244,1.00266,1.00283,1.00296,1.00305,1.00310,1.00311,1.00310,1.00305,1.00297,1.00287,1.00275,1.00261,1.00245,1.00228,1.00209,1.00190,1.00170,1.00150,1.00129,1.00109,1.00090,1.00072,1.00055,1.00039,1.00026,1.00015,1.00006,1.00001,1.00000,1.00002,1.00009,1.00021,1.00038,0.99827,0.99182,0.98333,0.97298,0.96132,0.94947,0.93937,0.93400,0.93778,0.95694,1.00000
1.00000,1.00057,1.00108,1.00153,1.00192,1.00226,1.00254,1.00277,1.00296,1.00309,1.00319,1.00325,1.00327,1.00325,1.00320,1.00313,1.00303,1.00290,1.00275,1.00259,1.00241,1.00222,1.00201,1.00181,1.00159,1.00138,1.00117,1.00097,1.00078,1.00060,1.00044,1.00029,1.00017,1.00008,1.00003,1.00001,1.00002,1.00009,1.00020,1.00037,1.00010,0.99377,0.98525,0.97471,0.96270,0.95038,0.93973,0.93384,0.93726,0.95639,1.00000
1.00000,1.00059,1.00112,1.00158,1.00199,1.00234,1.00263,1.00287,1.00307,1.00322,1.00332,1.00338,1.00340,1.00339,1.00335,1.00327,1.00317,1.00304,1.00289,1.00272,1.00253,1.00233,1.00212,1.00191,1.00169,1.00147,1.00125,1.00104,1.00084,1.00065,1.00048,1.00033,1.00020,1.00010,1.00004,1.00001,1.00003,1.00008,1.00019,1.00035,1.00053,0.99558,0.98708,0.97642,0.96414,0.95143,0.94031,0.93394,0.93698,0.95601,1.00000
1.00000,1.00060,1.00115,1.00162,1.00204,1.00241,1.00271,1.00296,1.00317,1.00332,1.00343,1.00350,1.00353,1.00352,1.00347,1.00340,1.00329,1.00316,1.00301,1.00283,1.00264,1.00244,1.00222,1.00200,1.00177,1.00154,1.00132,1.00110,1.00089,1.00069,1.00052,1.00036,1.00023,1.00012,1.00005,1.00002,1.00003,1.00008,1.00018,1.00033,1.00054,0.99721,0.98879,0.97806,0.96559,0.95255,0.94102,0.93421,0.93689,0.95577,1.00000
1.00000,1.00062,1.00117,1.00166,1.00209,1.00247,1.00278,1.00305,1.00326,1.00342,1.00353,1.00361,1.00364,1.00363,1.00359,1.00351,1.00340,1.00327,1.00311,1.00294,1.00274,1.00253,1.00231,1.00208,1.00185,1.00161,1.00138,1.00116,1.00094,1.00074,1.00055,1.00039,1.00025,1.00014,1.00006,1.00002,1.00002,1.00007,1.00017,1.00032,1.00052,0.99866,0.99034,0.97960,0.96698,0.95368,0.94179,0.93460,0.93693,0.95562,1.00000
1.00000,1.00063,1.00119,1.00170,1.00214,1.00252,1.00284,1.00312,1.00333,1.00350,1.00362,1.00370,1.00373,1.00373,1.00369,1.00361,1.00350,1.00337,1.00321,1.00303,1.00283,1.00262,1.00239,1.00216,1.00192,1.00168,1.00144,1.00121,1.00098,1.00078,1.00058,1.00041,1.00027,1.00015,1.00007,1.00003,1.00002,1.00007,1.00016,1.00030,1.00050,0.99993,0.99173,0.98101,0.96829,0.95478,0.94259,0.93504,0.93705,0.95555,1.00000
1.00000,1.00064,1.00121,1.00172,1.00218,1.00257,1.00290,1.00318,1.00340,1.00358,1.00370,1.00378,1.00382,1.00382,1.00378,1.00370,1.00359,1.00346,1.00330,1.00311,1.00291,1.00269,1.00246,1.00222,1.00198,1.00173,1.00149,1.00125,1.00102,1.00081,1.00061,1.00044,1.00029,1.00017,1.00008,1.00003,1.00002,1.00006,1.00015,1.00028,1.00048,1.00054,0.99296,0.98227,0.96949,0.95581,0.94337,0.93552,0.93723,0.95552,1.00000
1.00000,1.00065,1.00123,1.00175,1.00221,1.00261,1.00295,1.00323,1.00346,1.00364,1.00377,1.00385,1.00389,1.00389,1.00385,1.00378,1.00367,1.00353,1.00337,1.00319,1.00298,1.00276,1.00253,1.00228,1.00203,1.00178,1.00154,1.00129,1.00106,1.00084,1.00064,1.00046,1.00030,1.00018,1.00009,1.00003,1.00002,1.00005,1.00014,1.00027,1.00046,1.00065,0.99401,0.98338,0.97055,0.95675,0.94410,0.93598,0.93743,0.95553,1.00000
1.00000,1.00065,1.00124,1.00177,1.00224,1.00264,1.00299,1.00328,1.00351,1.00369,1.00383,1.00392,1.00396,1.00396,1.00392,1.00384,1.00374,1.00360,1.00344,1.00325,1.00304,1.00282,1.00258,1.00233,1.00208,1.00183,1.00158,1.00133,1.00109,1.00087,1.00066,1.00048,1.00032,1.00019,1.00009,1.00004,1.00002,1.00005,1.00013,1.00026,1.00044,1.00067,0.99490,0.98432,0.97148,0.95758,0.94476,0.93642,0.93764,0.95557,1.00000
